10
BC377639-37CC-4824-81AF-60177418B46D,PAYMENT,10535.18,C1906093041,83310.00,68774.82,M95867054
AD377639-37CC-4824-81AF-60177418B46D,PAYMENT,10535.18,C1906093041,83310.00,68774.82,M95867054
7721D4C1-5A2E-4AA0-8AC3-351DFC4FE84A,TRANSFER,159266.75,C1387043512,700736.40,677003.15,C553899299
F8A44740-DE85-4477-9E5E-C090AABE0BF2,TRANSFER,79628.70,C739752704,203042.00,123413.30,C579345824
043FD663-236E-4C02-B042-E2642AA6471E,WITHDRAWAL,3225.27,C750937249,99375.00,95149.73,C1232504595
E0EB18EC-4EE2-4206-8834-9465992D1B28,WITHDRAWAL,11268.73,C385148617,167267.40,155998.67,M1084205719
C306CA7E-80A0-499E-8CDE-13DFB50C6753,DEBIT,17526.96,C1474376627,344543.08,315016.12,M1944361847
003C45B2-1356-4C7F-8D8A-EBB7BF026F16,DEBIT,14504.20,C386278926,56082.00,25586.20,C1113941243
76947698-1302-47D9-9CAF-66F21A2A6A52,DEPOSIT,3240.99,C208944046,1537.01,4778.00,M962275185
76888888-1302-47D9-9CAF-66F21A2A6A52,DEPOSIT,3240.99,C208944046,1537.01,4778.00,M962275185
